,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,Popularity
49,0.152,https://api.spotify.com/v1/audio-analysis/33471tzU1VghDg9zNgGRpz,0.758,166573,0.867,33471tzU1VghDg9zNgGRpz,0.0,11,0.308,-5.087,1,0.0475,102.018,4,https://api.spotify.com/v1/tracks/33471tzU1VghDg9zNgGRpz,audio_features,spotify:track:33471tzU1VghDg9zNgGRpz,0.964,75
50,0.493,https://api.spotify.com/v1/audio-analysis/0OgGn1ofaj55l2PcihQQGV,0.763,190472,0.572,0OgGn1ofaj55l2PcihQQGV,0.00118,11,0.106,-7.312,0,0.0595,151.93,4,https://api.spotify.com/v1/tracks/0OgGn1ofaj55l2PcihQQGV,audio_features,spotify:track:0OgGn1ofaj55l2PcihQQGV,0.25,87
51,0.0183,https://api.spotify.com/v1/audio-analysis/2oPCR02nduYVpj7CTfsA0d,0.455,212067,0.897,2oPCR02nduYVpj7CTfsA0d,0.0,9,0.174,-4.879,1,0.0403,160.139,4,https://api.spotify.com/v1/tracks/2oPCR02nduYVpj7CTfsA0d,audio_features,spotify:track:2oPCR02nduYVpj7CTfsA0d,0.728,76
52,0.669,https://api.spotify.com/v1/audio-analysis/72b0ANL1ZiV71OiZRs0Lny,0.494,274693,0.637,72b0ANL1ZiV71OiZRs0Lny,0.0,5,0.0882,-6.381,1,0.0333,147.924,4,https://api.spotify.com/v1/tracks/72b0ANL1ZiV71OiZRs0Lny,audio_features,spotify:track:72b0ANL1ZiV71OiZRs0Lny,0.1,78
53,0.374,https://api.spotify.com/v1/audio-analysis/4kWO6O1BUXcZmaxitpVUwp,0.747,215760,0.834,4kWO6O1BUXcZmaxitpVUwp,0.0,3,0.0586,-2.867,0,0.045,128.005,4,https://api.spotify.com/v1/tracks/4kWO6O1BUXcZmaxitpVUwp,audio_features,spotify:track:4kWO6O1BUXcZmaxitpVUwp,0.687,94
54,0.257,https://api.spotify.com/v1/audio-analysis/2374M0fQpWi3dLnB54qaLX,0.671,295893,0.373,2374M0fQpWi3dLnB54qaLX,7.95e-05,9,0.0481,-18.064,1,0.0323,92.717,4,https://api.spotify.com/v1/tracks/2374M0fQpWi3dLnB54qaLX,audio_features,spotify:track:2374M0fQpWi3dLnB54qaLX,0.732,85
55,0.09,https://api.spotify.com/v1/audio-analysis/17jeLyQcEUmKv3MXeEo79k,0.874,214160,0.727,17jeLyQcEUmKv3MXeEo79k,5.83e-06,8,0.0759,-7.689,1,0.0777,98.97,4,https://api.spotify.com/v1/tracks/17jeLyQcEUmKv3MXeEo79k,audio_features,spotify:track:17jeLyQcEUmKv3MXeEo79k,0.427,76
56,0.354,https://api.spotify.com/v1/audio-analysis/7dt6x5M1jzdTEt8oCbisTK,0.68,231267,0.563,7dt6x5M1jzdTEt8oCbisTK,0.0,10,0.136,-5.843,1,0.0454,145.028,4,https://api.spotify.com/v1/tracks/7dt6x5M1jzdTEt8oCbisTK,audio_features,spotify:track:7dt6x5M1jzdTEt8oCbisTK,0.374,95
57,0.0211,https://api.spotify.com/v1/audio-analysis/4OafepJy2teCjYJbvFE60J,0.568,198160,0.656,4OafepJy2teCjYJbvFE60J,1.37e-05,8,0.213,-5.413,1,0.0433,100.049,4,https://api.spotify.com/v1/tracks/4OafepJy2teCjYJbvFE60J,audio_features,spotify:track:4OafepJy2teCjYJbvFE60J,0.364,94
58,0.185,https://api.spotify.com/v1/audio-analysis/53yTYusPQJ1AApL1hi0Dnc,0.472,216093,0.884,53yTYusPQJ1AApL1hi0Dnc,0.0,9,0.178,-2.306,1,0.0584,159.96,4,https://api.spotify.com/v1/tracks/53yTYusPQJ1AApL1hi0Dnc,audio_features,spotify:track:53yTYusPQJ1AApL1hi0Dnc,0.718,77
59,0.456,https://api.spotify.com/v1/audio-analysis/7uVkYr8gxcPEgqohvynpdN,0.51,199436,0.386,7uVkYr8gxcPEgqohvynpdN,0.0,1,0.252,-8.391,1,0.0307,86.36,4,https://api.spotify.com/v1/tracks/7uVkYr8gxcPEgqohvynpdN,audio_features,spotify:track:7uVkYr8gxcPEgqohvynpdN,0.266,76
60,0.314,https://api.spotify.com/v1/audio-analysis/6qNALlmZa1ESnCxJmXE1K9,0.755,186080,0.769,6qNALlmZa1ESnCxJmXE1K9,2.38e-06,10,0.0628,-5.658,0,0.186,114.966,4,https://api.spotify.com/v1/tracks/6qNALlmZa1ESnCxJmXE1K9,audio_features,spotify:track:6qNALlmZa1ESnCxJmXE1K9,0.642,81
61,0.161,https://api.spotify.com/v1/audio-analysis/07FkzikE6FuHIa8Ma7zJGc,0.753,209213,0.66,07FkzikE6FuHIa8Ma7zJGc,0.0,5,0.236,-6.542,1,0.133,95.003,4,https://api.spotify.com/v1/tracks/07FkzikE6FuHIa8Ma7zJGc,audio_features,spotify:track:07FkzikE6FuHIa8Ma7zJGc,0.182,82
62,0.00261,https://api.spotify.com/v1/audio-analysis/6GBndDk0OEpDkmKoSBJyyK,0.549,178733,0.869,6GBndDk0OEpDkmKoSBJyyK,1.77e-06,4,0.29,-4.905,0,0.0289,91.988,4,https://api.spotify.com/v1/tracks/6GBndDk0OEpDkmKoSBJyyK,audio_features,spotify:track:6GBndDk0OEpDkmKoSBJyyK,0.433,78
63,0.0112,https://api.spotify.com/v1/audio-analysis/1N7YeVU0ZwAFbOhwM61ef6,0.578,220850,0.694,1N7YeVU0ZwAFbOhwM61ef6,0.0,5,0.102,-5.351,1,0.0706,129.921,4,https://api.spotify.com/v1/tracks/1N7YeVU0ZwAFbOhwM61ef6,audio_features,spotify:track:1N7YeVU0ZwAFbOhwM61ef6,0.268,80
64,0.182,https://api.spotify.com/v1/audio-analysis/33tNYw9oMtSkGe27NpgS64,0.79,169620,0.629,33tNYw9oMtSkGe27NpgS64,7.06e-06,8,0.338,-4.055,1,0.142,170.023,4,https://api.spotify.com/v1/tracks/33tNYw9oMtSkGe27NpgS64,audio_features,spotify:track:33tNYw9oMtSkGe27NpgS64,0.267,86
65,0.24,https://api.spotify.com/v1/audio-analysis/4lFfMRH0YH4pW5gczTDbNC,0.741,219136,0.37,4lFfMRH0YH4pW5gczTDbNC,0.0,8,0.118,-8.437,0,0.324,116.06,4,https://api.spotify.com/v1/tracks/4lFfMRH0YH4pW5gczTDbNC,audio_features,spotify:track:4lFfMRH0YH4pW5gczTDbNC,0.13,77
66,0.201,https://api.spotify.com/v1/audio-analysis/3N2AIfVOq6NiTcWHIP4Oco,0.386,213024,0.799,3N2AIfVOq6NiTcWHIP4Oco,0.0,2,0.103,-3.789,1,0.0555,86.333,4,https://api.spotify.com/v1/tracks/3N2AIfVOq6NiTcWHIP4Oco,audio_features,spotify:track:3N2AIfVOq6NiTcWHIP4Oco,0.391,78
67,0.0119,https://api.spotify.com/v1/audio-analysis/5N5k9nd479b1xpDZ4usjrg,0.781,213309,0.768,5N5k9nd479b1xpDZ4usjrg,4.91e-06,11,0.325,-5.991,1,0.0394,123.07,4,https://api.spotify.com/v1/tracks/5N5k9nd479b1xpDZ4usjrg,audio_features,spotify:track:5N5k9nd479b1xpDZ4usjrg,0.486,97
68,0.0288,https://api.spotify.com/v1/audio-analysis/5c0Vl3yklw5WX9YI36dPLd,0.803,219552,0.648,5c0Vl3yklw5WX9YI36dPLd,0.0,4,0.0904,-9.185,0,0.198,131.925,4,https://api.spotify.com/v1/tracks/5c0Vl3yklw5WX9YI36dPLd,audio_features,spotify:track:5c0Vl3yklw5WX9YI36dPLd,0.538,72
69,0.313,https://api.spotify.com/v1/audio-analysis/6Poyf51k7W3NKnsGwAI90B,0.855,279867,0.787,6Poyf51k7W3NKnsGwAI90B,0.0,8,0.194,-4.134,0,0.334,88.003,4,https://api.spotify.com/v1/tracks/6Poyf51k7W3NKnsGwAI90B,audio_features,spotify:track:6Poyf51k7W3NKnsGwAI90B,0.702,83
70,0.0085,https://api.spotify.com/v1/audio-analysis/5a8RPWgKSmcGBGcffmIrUi,0.691,187027,0.716,5a8RPWgKSmcGBGcffmIrUi,9.06e-06,7,0.263,-5.985,1,0.0351,112.035,4,https://api.spotify.com/v1/tracks/5a8RPWgKSmcGBGcffmIrUi,audio_features,spotify:track:5a8RPWgKSmcGBGcffmIrUi,0.507,92
71,0.0769,https://api.spotify.com/v1/audio-analysis/0XySogm94T51XF5F2jumXm,0.671,165820,0.529,0XySogm94T51XF5F2jumXm,0.000335,0,0.0856,-7.226,1,0.307,161.989,4,https://api.spotify.com/v1/tracks/0XySogm94T51XF5F2jumXm,audio_features,spotify:track:0XySogm94T51XF5F2jumXm,0.203,89
72,0.227,https://api.spotify.com/v1/audio-analysis/58QhkbaAkLFnn7JwAnAato,0.83,262494,0.546,58QhkbaAkLFnn7JwAnAato,0.0,1,0.112,-5.716,1,0.295,182.973,4,https://api.spotify.com/v1/tracks/58QhkbaAkLFnn7JwAnAato,audio_features,spotify:track:58QhkbaAkLFnn7JwAnAato,0.535,91
73,0.0558,https://api.spotify.com/v1/audio-analysis/15kQGEy89K8deJcZVFEn0N,0.575,197947,0.571,15kQGEy89K8deJcZVFEn0N,0.0,1,0.0912,-7.906,1,0.0439,105.049,4,https://api.spotify.com/v1/tracks/15kQGEy89K8deJcZVFEn0N,audio_features,spotify:track:15kQGEy89K8deJcZVFEn0N,0.449,85
74,0.808,https://api.spotify.com/v1/audio-analysis/1RMJOxR6GRPsBHL8qeC2ux,0.524,209831,0.364,1RMJOxR6GRPsBHL8qeC2ux,0.0,7,0.1,-10.209,1,0.0367,75.24,4,https://api.spotify.com/v1/tracks/1RMJOxR6GRPsBHL8qeC2ux,audio_features,spotify:track:1RMJOxR6GRPsBHL8qeC2ux,0.436,82
75,0.00552,https://api.spotify.com/v1/audio-analysis/0ZNrc4kNeQYD9koZ3KvCsy,0.745,237240,0.346,0ZNrc4kNeQYD9koZ3KvCsy,0.0,1,0.0881,-7.709,1,0.331,203.911,4,https://api.spotify.com/v1/tracks/0ZNrc4kNeQYD9koZ3KvCsy,audio_features,spotify:track:0ZNrc4kNeQYD9koZ3KvCsy,0.112,88
76,0.328,https://api.spotify.com/v1/audio-analysis/7q7jyVU0f0hnod8tsaUmxg,0.631,212745,0.44,7q7jyVU0f0hnod8tsaUmxg,0.0,1,0.239,-5.948,1,0.028,136.033,4,https://api.spotify.com/v1/tracks/7q7jyVU0f0hnod8tsaUmxg,audio_features,spotify:track:7q7jyVU0f0hnod8tsaUmxg,0.418,78
77,0.105,https://api.spotify.com/v1/audio-analysis/4Vxu50qVrQcycjRyJQaZLC,0.687,190227,0.842,4Vxu50qVrQcycjRyJQaZLC,0.0,7,0.0436,-4.382,1,0.058,87.968,4,https://api.spotify.com/v1/tracks/4Vxu50qVrQcycjRyJQaZLC,audio_features,spotify:track:4Vxu50qVrQcycjRyJQaZLC,0.778,77
78,0.0362,https://api.spotify.com/v1/audio-analysis/3DV49ruvI5Sl6iisPZAc2c,0.597,149293,0.721,3DV49ruvI5Sl6iisPZAc2c,0.0,9,0.0832,-6.422,1,0.0356,132.054,4,https://api.spotify.com/v1/tracks/3DV49ruvI5Sl6iisPZAc2c,audio_features,spotify:track:3DV49ruvI5Sl6iisPZAc2c,0.437,74
79,0.294,https://api.spotify.com/v1/audio-analysis/2dwoqUYTy6SOy1dFqcTndC,0.552,202067,0.698,2dwoqUYTy6SOy1dFqcTndC,0.000103,8,0.0905,-4.817,1,0.0306,90.006,4,https://api.spotify.com/v1/tracks/2dwoqUYTy6SOy1dFqcTndC,audio_features,spotify:track:2dwoqUYTy6SOy1dFqcTndC,0.6,76
80,0.107,https://api.spotify.com/v1/audio-analysis/14mHfNsSHN0FbLftyjrV9g,0.792,195637,0.743,14mHfNsSHN0FbLftyjrV9g,0.0,7,0.183,-2.806,1,0.0851,150.024,4,https://api.spotify.com/v1/tracks/14mHfNsSHN0FbLftyjrV9g,audio_features,spotify:track:14mHfNsSHN0FbLftyjrV9g,0.742,85
81,0.794,https://api.spotify.com/v1/audio-analysis/1kFBLqkTuNKlspkJ1EOGjN,0.485,207267,0.306,1kFBLqkTuNKlspkJ1EOGjN,0.0,0,0.122,-8.431,1,0.0409,203.729,4,https://api.spotify.com/v1/tracks/1kFBLqkTuNKlspkJ1EOGjN,audio_features,spotify:track:1kFBLqkTuNKlspkJ1EOGjN,0.224,70
82,0.462,https://api.spotify.com/v1/audio-analysis/7d6XJZjnm7iWcKwYL9z5kC,0.699,165000,0.558,7d6XJZjnm7iWcKwYL9z5kC,0.0,11,0.116,-7.622,1,0.0603,79.992,4,https://api.spotify.com/v1/tracks/7d6XJZjnm7iWcKwYL9z5kC,audio_features,spotify:track:7d6XJZjnm7iWcKwYL9z5kC,0.493,89
83,0.283,https://api.spotify.com/v1/audio-analysis/7lAK3oHbfEnvUQWosrMMpR,0.785,150043,0.554,7lAK3oHbfEnvUQWosrMMpR,3.4e-06,0,0.116,-6.571,1,0.0409,128.047,4,https://api.spotify.com/v1/tracks/7lAK3oHbfEnvUQWosrMMpR,audio_features,spotify:track:7lAK3oHbfEnvUQWosrMMpR,0.144,88
84,0.0651,https://api.spotify.com/v1/audio-analysis/6CyJlVAEFlNdpggOLanytL,0.434,185440,0.831,6CyJlVAEFlNdpggOLanytL,0.0,8,0.119,-4.774,1,0.0453,156.034,4,https://api.spotify.com/v1/tracks/6CyJlVAEFlNdpggOLanytL,audio_features,spotify:track:6CyJlVAEFlNdpggOLanytL,0.596,76
85,0.75,https://api.spotify.com/v1/audio-analysis/2ZYbPXhx4OCmdTsMThbSEW,0.629,195053,0.464,2ZYbPXhx4OCmdTsMThbSEW,0.0,4,0.0853,-8.72,1,0.0334,156.051,4,https://api.spotify.com/v1/tracks/2ZYbPXhx4OCmdTsMThbSEW,audio_features,spotify:track:2ZYbPXhx4OCmdTsMThbSEW,0.523,75
86,0.00947,https://api.spotify.com/v1/audio-analysis/7wBJfHzpfI3032CSD7CE2m,0.487,270715,0.789,7wBJfHzpfI3032CSD7CE2m,4.05e-06,8,0.189,-3.69,1,0.044,150.007,4,https://api.spotify.com/v1/tracks/7wBJfHzpfI3032CSD7CE2m,audio_features,spotify:track:7wBJfHzpfI3032CSD7CE2m,0.0564,92
87,0.172,https://api.spotify.com/v1/audio-analysis/7ATATJztoWLcqDAcVVof0C,0.635,217822,0.902,7ATATJztoWLcqDAcVVof0C,0.0,0,0.125,-3.559,1,0.109,102.063,4,https://api.spotify.com/v1/tracks/7ATATJztoWLcqDAcVVof0C,audio_features,spotify:track:7ATATJztoWLcqDAcVVof0C,0.286,94
88,0.0414,https://api.spotify.com/v1/audio-analysis/29tc0GbW0pTSBZSCZF3NWk,0.665,175755,0.651,29tc0GbW0pTSBZSCZF3NWk,0.0,1,0.0896,-5.515,1,0.156,163.935,4,https://api.spotify.com/v1/tracks/29tc0GbW0pTSBZSCZF3NWk,audio_features,spotify:track:29tc0GbW0pTSBZSCZF3NWk,0.237,89
89,0.367,https://api.spotify.com/v1/audio-analysis/5bJ1DrEM4hNCafcDd1oxHx,0.52,345133,0.538,5bJ1DrEM4hNCafcDd1oxHx,0.00187,1,0.119,-8.109,1,0.206,141.894,4,https://api.spotify.com/v1/tracks/5bJ1DrEM4hNCafcDd1oxHx,audio_features,spotify:track:5bJ1DrEM4hNCafcDd1oxHx,0.177,88
90,0.183,https://api.spotify.com/v1/audio-analysis/6Hgh47WXVKtXN5zGOu0hjI,0.652,263014,0.678,6Hgh47WXVKtXN5zGOu0hjI,3.26e-05,2,0.106,-6.183,1,0.0541,72.989,4,https://api.spotify.com/v1/tracks/6Hgh47WXVKtXN5zGOu0hjI,audio_features,spotify:track:6Hgh47WXVKtXN5zGOu0hjI,0.28,87
91,0.0886,https://api.spotify.com/v1/audio-analysis/0PpfPNtQOOvbMNVJijTQj0,0.796,190466,0.68,0PpfPNtQOOvbMNVJijTQj0,0.0,10,0.268,-4.853,0,0.353,164.932,4,https://api.spotify.com/v1/tracks/0PpfPNtQOOvbMNVJijTQj0,audio_features,spotify:track:0PpfPNtQOOvbMNVJijTQj0,0.565,75
92,0.193,https://api.spotify.com/v1/audio-analysis/5sIx4BlfYGuZeSLF40N9GH,0.685,217287,0.508,5sIx4BlfYGuZeSLF40N9GH,0.0,0,0.139,-6.4,1,0.0987,99.063,4,https://api.spotify.com/v1/tracks/5sIx4BlfYGuZeSLF40N9GH,audio_features,spotify:track:5sIx4BlfYGuZeSLF40N9GH,0.315,84
93,0.0716,https://api.spotify.com/v1/audio-analysis/2VX37A1p7tkvrH2UJwAU0T,0.711,208733,0.796,2VX37A1p7tkvrH2UJwAU0T,0.0045,10,0.262,-5.87,1,0.0341,109.991,4,https://api.spotify.com/v1/tracks/2VX37A1p7tkvrH2UJwAU0T,audio_features,spotify:track:2VX37A1p7tkvrH2UJwAU0T,0.901,74
94,0.0311,https://api.spotify.com/v1/audio-analysis/2jt2WxXMCD4zjACthkJQVE,0.939,337941,0.551,2jt2WxXMCD4zjACthkJQVE,0.0,1,0.192,-9.126,1,0.291,118.552,4,https://api.spotify.com/v1/tracks/2jt2WxXMCD4zjACthkJQVE,audio_features,spotify:track:2jt2WxXMCD4zjACthkJQVE,0.42,92
95,0.186,https://api.spotify.com/v1/audio-analysis/2VdT56BGpdqNHUgOe1j5vc,0.601,206453,0.59,2VdT56BGpdqNHUgOe1j5vc,0.0,2,0.0942,-5.001,1,0.0569,151.952,4,https://api.spotify.com/v1/tracks/2VdT56BGpdqNHUgOe1j5vc,audio_features,spotify:track:2VdT56BGpdqNHUgOe1j5vc,0.274,82
96,0.016,https://api.spotify.com/v1/audio-analysis/0B08s1tLWCXoFmGP0vIubM,0.698,264853,0.783,0B08s1tLWCXoFmGP0vIubM,0.0,2,0.176,-6.503,1,0.266,160.034,4,https://api.spotify.com/v1/tracks/0B08s1tLWCXoFmGP0vIubM,audio_features,spotify:track:0B08s1tLWCXoFmGP0vIubM,0.378,53
97,0.307,https://api.spotify.com/v1/audio-analysis/7IBSffWIu7P2MC7kMwy2FM,0.877,226743,0.477,7IBSffWIu7P2MC7kMwy2FM,0.0,9,0.0929,-7.379,0,0.0587,127.023,4,https://api.spotify.com/v1/tracks/7IBSffWIu7P2MC7kMwy2FM,audio_features,spotify:track:7IBSffWIu7P2MC7kMwy2FM,0.552,84
98,0.0441,https://api.spotify.com/v1/audio-analysis/6kPJZM97LwdG9QIsT7khp6,0.737,222653,0.636,6kPJZM97LwdG9QIsT7khp6,6.66e-05,11,0.35,-4.546,0,0.0437,105.005,4,https://api.spotify.com/v1/tracks/6kPJZM97LwdG9QIsT7khp6,audio_features,spotify:track:6kPJZM97LwdG9QIsT7khp6,0.565,95
99,0.315,https://api.spotify.com/v1/audio-analysis/1s2B5cndbqK8rPJEIcKJRQ,0.754,176133,0.805,1s2B5cndbqK8rPJEIcKJRQ,0.0,6,0.203,-4.249,1,0.0752,93.983,4,https://api.spotify.com/v1/tracks/1s2B5cndbqK8rPJEIcKJRQ,audio_features,spotify:track:1s2B5cndbqK8rPJEIcKJRQ,0.555,93
